team_home,score,team_back,datetime
                Sunderland Cats,                    0 - 0,                Liverpool Stars,2020-04-29 04:08:00
                Blucerchiati,                    0 - 0,                Nerazzurri FC,2020-04-29 04:11:00
                Udine Utd,                    1 - 1,                Villanova Stripes,2020-04-29 04:14:00
                Empoli Farmers,                    1 - 0,                Verona Wanderers,2020-04-29 04:17:00
                East End Utd,                    1 - 2,                Swansea Jacks,2020-04-29 04:20:00
                Genova Griffins,                    0 - 1,                Sassuolo Villa,2020-04-29 04:23:00
                Verona Wanderers,                    2 - 1,                Villanova Stripes,2020-04-29 04:26:00
                Villanova Stripes,                    0 - 3,                Milan Reds,2020-04-29 04:29:00
                Norwich Canaries,                    0 - 1,                East End Utd,2020-04-29 04:32:00
                Liverpool Stars,                    2 - 1,                Norwich Canaries,2020-04-29 04:35:00
                Giallorossi FC,                    1 - 1,                Biancorossi,2020-04-29 04:38:00
                Leicester Utd,                    2 - 2,                The Cherries,2020-04-29 04:41:00
                Islington Reds,                    3 - 1,                Donetsk Arrows,2020-04-29 04:44:00
                Manchester Blues,                    2 - 1,                Norwich Canaries,2020-04-29 04:47:00
                Sassuolo Villa,                    0 - 2,                Nerazzurri FC,2020-04-29 04:50:00
                Manchester Reds,                    4 - 0,                Mersey Blues,2020-04-29 04:53:00
                PSV Peasants,                    0 - 3,                Manchester Reds,2020-04-29 04:56:00
                South Saints,                    1 - 0,                Aston City,2020-04-29 04:59:00
                Aston City,                    0 - 1,                Chelsea Pensioners,2020-04-29 05:02:00
                Lisbon Reds,                    1 - 2,                Saxon Wolves,2020-04-29 05:05:00
                PSV Peasants,                    1 - 0,                Giallorossi FC,2020-04-29 05:08:00
                Calcio Canaries,                    0 - 2,                Milan Reds,2020-04-29 05:11:00
                Empoli Farmers,                    0 - 1,                Torino Bulls,2020-04-29 05:14:00
                Biancorossi,                    2 - 0,                Fiorentina Purples,2020-04-29 05:17:00
                Newcastle AFC,                    1 - 0,                Aston City,2020-04-29 05:20:00
                Villanova Stripes,                    2 - 2,                Biancorossi,2020-04-29 05:23:00
                South Saints,                    0 - 3,                London Whites,2020-04-29 05:26:00
                Manchester Blues,                    1 - 0,                Borussia Foals,2020-04-29 05:29:00
                Stoke Utd,                    1 - 1,                Norwich Canaries,2020-04-29 05:32:00
                Fiorentina Purples,                    1 - 2,                Verona City,2020-04-29 05:35:00
                Malmo Sky Blues,                    1 - 2,                Olympic Athens,2020-04-29 05:38:00
                Dynamo Whites,                    0 - 0,                Chelsea Pensioners,2020-04-29 05:41:00
                St Petersburg,                    1 - 1,                Barcelona Braves,2020-04-29 05:44:00
                Olympic Athens,                    1 - 2,                St Petersburg,2020-04-29 05:47:00
                Giallorossi FC,                    1 - 2,                Genova Griffins,2020-04-29 05:50:00
                Nerazzurri FC,                    1 - 1,                Udine Utd,2020-04-29 05:53:00
                Madrid Juniors,                    2 - 0,                CSKA Russia,2020-04-29 05:56:00
                Swansea Jacks,                    1 - 0,                Norwich Canaries,2020-04-29 05:59:00
                Swansea Jacks,                    1 - 0,                Norwich Canaries,2020-04-29 05:59:00
                Palermo Town,                    1 - 0,                Empoli Farmers,2020-04-29 06:02:00
                Turin,                    2 - 1,                Giallorossi FC,2020-04-29 06:05:00
                Lisbon Reds,                    1 - 2,                Giallorossi FC,2020-04-29 06:08:00
                Kazakh Stripes,                    1 - 1,                Valencia Juniors,2020-04-29 06:11:00
                London Whites,                    1 - 2,                Palace Eagles,2020-04-29 06:14:00
                Borussia Foals,                    1 - 2,                Barysaw Yellows,2020-04-29 06:17:00
                Giallorossi FC,                    0 - 0,                Madrid Juniors,2020-04-29 06:20:00
                CSKA Russia,                    0 - 1,                Barcelona Braves,2020-04-29 06:23:00
                PSV Peasants,                    0 - 0,                Lisbon Reds,2020-04-29 06:26:00
                London Whites,                    0 - 1,                Liverpool Stars,2020-04-29 06:29:00
                Leverkusen,                    0 - 0,                Islington Reds,2020-04-29 06:32:00
                Nerazzurri FC,                    2 - 0,                Roma County,2020-04-29 06:35:00
                Manchester Reds,                    1 - 3,                Manchester Blues,2020-04-29 06:38:00
                Empoli Farmers,                    3 - 1,                Palermo Town,2020-04-29 06:41:00
                Valencia Juniors,                    0 - 1,                Chelsea Pensioners,2020-04-29 06:44:00
                Sassuolo Villa,                    1 - 1,                Napoli Blues,2020-04-29 06:47:00
                Verona Wanderers,                    2 - 1,                Nerazzurri FC,2020-04-29 06:50:00
                Galataistanbul,                    0 - 2,                Leverkusen,2020-04-29 06:53:00
                Manchester Blues,                    2 - 2,                Kazakh Stripes,2020-04-29 06:56:00
                The Cherries,                    2 - 2,                Norwich Canaries,2020-04-29 06:59:00
                Mersey Blues,                    3 - 1,                Palace Eagles,2020-04-29 07:02:00
                Islington Reds,                    1 - 0,                WBA Baggies,2020-04-29 07:05:00
                Chelsea Pensioners,                    2 - 0,                The Cherries,2020-04-29 07:08:00
                Milan Reds,                    3 - 1,                Palermo Town,2020-04-29 07:11:00
Verona Wanderers,3 - 0,Bergamo Rangers,2020-04-29 07:14:00
Verona Wanderers,1 - 0,Biancorossi,2020-04-29 07:17:00
Leverkusen,1 - 1,Olympique Juniors,2020-04-29 07:20:00
Liverpool Stars,0 - 1,South Saints,2020-04-29 07:23:00
Napoli Blues,0 - 1,Fiorentina Purples,2020-04-29 07:26:00
Munich,1 - 0,St Petersburg,2020-04-29 07:29:00
Sassuolo Villa,2 - 0,Torino Bulls,2020-04-29 07:32:00
Islington Reds,0 - 2,Leicester Utd,2020-04-29 07:35:00
Islington Reds,1 - 1,Paris City,2020-04-29 07:38:00
Napoli Blues,0 - 2,Milan Reds,2020-04-29 07:41:00
Islington Reds,1 - 0,East End Utd,2020-04-29 07:44:00
South Saints,2 - 0,Sunderland Cats,2020-04-29 07:47:00
Manchester Blues,1 - 1,East End Utd,2020-04-29 07:50:00
Mersey Blues,1 - 0,Liverpool Stars,2020-04-29 07:53:00
Watford Hornets,1 - 2,Stoke Utd,2020-04-29 07:56:00
Milan Reds,2 - 0,Verona Wanderers,2020-04-29 07:59:00
Manchester Blues,1 - 0,Swansea Jacks,2020-04-29 08:02:00
East End Utd,2 - 2,Sunderland Cats,2020-04-29 08:05:00
Islington Reds,1 - 2,The Cherries,2020-04-29 08:08:00
Palermo Town,3 - 1,Villanova Stripes,2020-04-29 08:11:00
Milan Reds,0 - 0,Biancorossi,2020-04-29 08:14:00
Galataistanbul,2 - 0,St Petersburg,2020-04-29 08:17:00
Watford Hornets,1 - 3,East End Utd,2020-04-29 08:20:00
Leicester Utd,0 - 1,Islington Reds,2020-04-29 08:23:00
Norwich Canaries,1 - 1,Aston City,2020-04-29 08:26:00
Bergamo Rangers,2 - 2,Torino Bulls,2020-04-29 08:29:00
Palermo Town,1 - 0,Torino Bulls,2020-04-29 08:32:00
Bergamo Rangers,1 - 2,Verona Wanderers,2020-04-29 08:35:00
St Petersburg,0 - 2,Leverkusen,2020-04-29 08:38:00
Giallorossi FC,1 - 0,CSKA Russia,2020-04-29 08:41:00
Saxon Wolves,2 - 0,Dynamo Whites,2020-04-29 08:44:00
Sevilla Tower,1 - 2,Valencia Juniors,2020-04-29 08:47:00
Roma County,1 - 0,Sassuolo Villa,2020-04-29 08:50:00
